Measure Mode: wall_time
Thread ID: 47046120247500
Fiber ID: 47046130648440
Total: 93.356253
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.06      0.055     0.055     0.000     0.000     5971   String#initialize
  0.06      0.105     0.055     0.000     0.050    32065   ActiveRecord::Associations::Association#klass
  0.06      0.055     0.055     0.000     0.000     6385   Kernel#sprintf
  0.06      0.264     0.054     0.000     0.209    19097   ActiveRecord::ModelSchema::ClassMethods#type_for_attribute
  0.06      0.408     0.054     0.000     0.353    13396   ActiveRecord::LogSubscriber#colorize_payload_name
  0.06      0.054     0.054     0.000     0.000    43348   ActiveRecord::Reflection::ThroughReflection#options
  0.06     19.016     0.054     0.000    18.962    13423   ActiveSupport::Dependencies::Interlock#permit_concurrent_loads
  0.06     15.251     0.054     0.000    15.197    10696   PG::Connection#async_exec
  0.06      0.267     0.054     0.000     0.214    30543   <Class::ActiveModel::Attribute>#from_database
  0.06      4.961     0.053     0.000     4.907     3180   ActiveRecord::Associations::Association#initialize_attributes
  0.06      0.053     0.053     0.000     0.000    34617   ActiveRecord::ModelSchema::ClassMethods#schema_loaded?
  0.06      0.158     0.053     0.000     0.105     6835   Set#initialize
  0.06      0.445     0.053     0.000     0.392    19808   ActiveRecord::ConnectionAdapters::PostgreSQL::OID::DateTime#cast_value
  0.06      1.237     0.053     0.000     1.185    16908   ActiveRecord::Scoping::ClassMethods#current_scope
  0.06      0.053     0.053     0.000     0.000     8607   Array#compact
  0.06      0.232     0.052     0.000     0.180    39202   ActiveRecord::QueryMethods#extending_values
  0.06      0.052     0.052     0.000     0.000    27483   ActiveSupport::Callbacks::Filters::Environment#value
  0.06      0.217     0.052     0.000     0.165    32498   ActiveModel::Type::Integer#cast_value
  0.05     14.630     0.051     0.000    14.579     3515   ActiveRecord::Querying#find_by_sql
  0.05      0.372     0.051     0.000     0.321    19123   ActiveRecord::Core::ClassMethods#arel_attribute
  0.05      0.287     0.051     0.000     0.236    17545   ActiveRecord::TableMetadata#type
  0.05      0.300     0.050     0.000     0.249    16726   ActiveRecord::Relation::Merger#merge_single_values
  0.05      0.168     0.050     0.000     0.118    13449   MonitorMixin::ConditionVariable#broadcast
  0.05      0.336     0.050     0.000     0.286    77084  *ActiveModel::Attribute#original_value
  0.05      0.393     0.050     0.000     0.343    19112   ActiveSupport::HashWithIndifferentAccess#[]=
  0.05      0.112     0.050     0.000     0.062     7309  *Module#const_get
  0.05      0.402     0.050     0.000     0.352    22940   ActiveRecord::Associations::Association#stale_target?
  0.05      0.765     0.050     0.000     0.716    25830   ActiveModel::AttributeSet#write_from_user
  0.05      4.531     0.049     0.000     4.482    16726   ActiveRecord::SpawnMethods#merge!
  0.05      0.049     0.049     0.000     0.000    13423   MonitorMixin::ConditionVariable#wait_while
  0.05      0.682     0.049     0.000     0.633    33452   ActiveRecord::Relation::WhereClause#merge
  0.05      2.309     0.049     0.000     2.260     5568   ActiveRecord::QueryMethods#where!
  0.05      0.452     0.049     0.000     0.403    13423   Time#minus_with_coercion
  0.05      0.659     0.048     0.000     0.611     6376   ActiveRecord::AttributeMethods::TimeZoneConversion::TimeZoneConverter#cast
  0.05      0.065     0.048     0.000     0.017    71289   Rails::Initializable::Initializer#before
  0.05      0.280     0.048     0.000     0.232    16726   ActiveRecord::Relation::Merger#merge_preloads
  0.05      0.326     0.048     0.000     0.278    16726   ActiveRecord::Relation::Merger#initialize
  0.05      0.357     0.048     0.000     0.309     6577   ActiveModel::AttributeMethods#matched_attribute_method
  0.05      0.095     0.048     0.000     0.048    14213   Arel::Nodes::Binary#initialize
  0.05      0.437     0.047     0.000     0.390    23878   Array#-
  0.05      0.048     0.047     0.000     0.001    29867   ActiveRecord::ModelSchema::ClassMethods#column_names
  0.05      0.122     0.047     0.000     0.075    16209   Object#deep_dup
  0.05      0.176     0.047     0.000     0.129    13423   <Class::ActiveRecord::ExplainRegistry>#collect?
  0.05     17.056     0.047     0.000    17.010     3503   ActiveRecord::Relation#skip_query_cache_if_necessary
  0.05      0.709     0.047     0.000     0.663    17545   ActiveRecord::PredicateBuilder#build_bind_attribute
  0.05      0.047     0.047     0.000     0.000    10257   Array#size
  0.05      0.153     0.046     0.000     0.106    22583   ActiveRecord::QueryMethods#order_values
  0.05      0.080     0.046     0.000     0.033    19821   Array#eql?
  0.05      0.060     0.046     0.000     0.013    27218   ActiveRecord::Associations#association_instance_get
